problem,solution
Multiply: 969 x 563,545547
Solve for x: 64 = -14x + 64,0
"The dimensions of an amazon package measure to 21 in. long, 42 in. wide, and 23 in. deep. What is the volume of the prism in cubic inches?",20286
"The dimensions of a game console measure to 17 in. long, 28 in. wide, and 20 in. deep. What is the volume of the prism in cubic inches?",9520
Solve for x: 128 = 10x - 62,19
Multiply: 81 x 19,1539
"The dimensions of a microwave measure to 32 in. long, 28 in. wide, and 10 in. deep. What is the volume of the prism in cubic inches?",8960
Simplify the following ratio: 1241/799,73/47
"Find the average (to one decimal place): 80, 29, 33, 22, 14, 94, 91, 18, 45, 78",50.4
Multiply: 75 x 59,4425
Simplify the following ratio: 826/658,59/47
Multiply: 704 x 202,142208
"Find the average (to one decimal place): 49, 13, 20, 85, 97, 42, 59, 82, 59, 5",51.1
Solve for x: 62 = -4x + 14,-12
"Find the average (to one decimal place): 2, 55, 94, 48, 95, 51, 47",56.0
Multiply: 980 x 618,605640
Solve for x: -87 = 9x + 57,-16
"Find the median: 97, 81, 31",81
Multiply: 880 x 628,552640
Simplify the following ratio: 247/481,19/37
Multiply: 332 x 949,315068
Solve for x: -443 = 29x - 37,-14
Multiply: 917 x 484,443828
Solve for x: -477 = -26x - 61,16
"Find the median: 32, 88, 86, 24, 42, 29, 30",32
Simplify the following ratio: 570/1770,19/59
Solve for x: -365 = -17x + 9,22
"Find the average (to one decimal place): 97, 56, 33, 86, 92, 83",74.5
Multiply: 42 x 70,2940
Multiply: 867 x 453,392751
Simplify the following ratio: 4/86,2/43
Solve for x: -144 = -26x + 64,8
Simplify the following ratio: 1085/2065,31/59
Solve for x: 122 = -19x - 11,-7
"Find the average (to one decimal place): 91, 77, 84, 95, 67, 91, 83, 99, 72, 40",79.9
Solve for x: -50 = 30x - 50,0
Solve for x: -568 = -27x - 1,21
Simplify the following ratio: 323/209,17/11
Simplify the following ratio: 930/1110,31/37
Simplify the following ratio: 78/52,3/2
Simplify the following ratio: 1278/90,71/5
Solve for x: 91 = 5x + 31,12
"Find the average (to one decimal place): 74, 39, 50, 82, 67, 3, 23, 42",47.5
Multiply: 88 x 96,8448
Solve for x: -492 = -16x - 60,27
Solve for x: 140 = -4x + 52,-22
"Find the average (to one decimal place): 96, 30, 45, 33, 96, 97, 16, 80, 58, 8",55.9
Multiply: 58 x 38,2204
"Find the median: 71, 85, 29, 35, 61, 99, 20",61
"Find the median: 44, 50, 54",50
Solve for x: -8 = 1x - 2,-6
"Find the median: 10, 12, 79, 67, 92, 34, 46, 94, 45, 74, 87, 43, 43",46
Solve for x: 20 = 1x + 8,12
Solve for x: 718 = 22x + 36,31
Simplify the following ratio: 82/86,41/43
"Find the average (to one decimal place): 70, 17, 49, 55, 11, 31, 8, 33, 43, 75",39.2
"The dimensions of a microwave measure to 23 in. long, 36 in. wide, and 21 in. deep. What is the volume of the prism in cubic inches?",17388
Solve for x: -31 = -31x - 31,0
"Find the median: 62, 68, 43, 8, 2, 72, 44, 13, 17, 9, 76, 46, 24",43
"Find the median: 40, 18, 25",25
Solve for x: -318 = -21x + 18,16
Multiply: 127 x 865,109855
"Find the average (to one decimal place): 7, 95, 97, 90, 14, 12",52.5
"Find the average (to one decimal place): 91, 64, 29, 44, 82, 91, 94, 24, 81, 24, 67, 47",61.5
Simplify the following ratio: 1247/2117,43/73
Solve for x: 43 = 5x - 42,17
"Find the average (to one decimal place): 37, 46, 36, 77, 72, 47",52.5
"Find the median: 36, 1, 10, 100, 15",15
"Find the average (to one decimal place): 77, 45, 82, 66, 97, 67, 42",68.0
Simplify the following ratio: 615/435,41/29
"The dimensions of a computer case measure to 28 in. long, 45 in. wide, and 12 in. deep. What is the volume of the prism in cubic inches?",15120
"Find the average (to one decimal place): 46, 30, 52, 32, 97, 51, 87, 89, 42, 16",54.2
Solve for x: 4 = 20x - 56,3
"The dimensions of a game console measure to 25 in. long, 44 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",15400
Simplify the following ratio: 531/171,59/19
Solve for x: -242 = 28x + 10,-9
"Find the average (to one decimal place): 24, 38, 53, 51, 25, 68, 66, 60, 58, 48",49.1
"Find the average (to one decimal place): 97, 64, 45, 24, 44, 59, 48, 44, 35, 83, 19, 74",53.0
Solve for x: 36 = 0x + 36,-16
Multiply: 260 x 571,148460
"Find the average (to one decimal place): 33, 57, 83, 81, 95, 20",61.5
Solve for x: -455 = 18x - 5,-25
Solve for x: 453 = -32x + 37,-13
Multiply: 842 x 503,423526
Solve for x: 537 = 28x + 5,19
"Find the median: 15, 14, 6, 70, 86",15
"Find the average (to one decimal place): 44, 44, 17, 99, 53, 94, 90, 10, 59, 52",56.2
"Find the median: 67, 18, 71, 92, 76, 78, 59",71
Multiply: 94 x 60,5640
Multiply: 230 x 309,71070
"Find the median: 90, 75, 83, 24, 35, 57, 80",75
Solve for x: 212 = -9x - 13,-25
"The dimensions of a game console measure to 12 in. long, 38 in. wide, and 8 in. deep. What is the volume of the prism in cubic inches?",3648
Simplify the following ratio: 62/10,31/5
Solve for x: -75 = 14x - 33,-3
"Find the average (to one decimal place): 32, 31, 100, 88, 47, 90, 45, 33, 87, 97, 34, 72",63.0
Simplify the following ratio: 2201/1643,71/53
Multiply: 32 x 37,1184
Solve for x: -128 = 13x + 54,-14
"Find the average (to one decimal place): 56, 28, 66, 22, 67, 47, 52, 2, 92",48.0
Solve for x: -831 = -26x + 1,32
